지점,지점명,일시,기온(°C),강수량(mm),습도(%),현지기압(hPa),적설(cm)
238,금산,2020-01-01 1:00,-9.2,,81,1013.1,
238,금산,2020-01-01 2:00,-9.5,,82,1012.7,
238,금산,2020-01-01 3:00,-8.6,,74,1012.3,
238,금산,2020-01-01 4:00,-7.9,,78,1011.8,
238,금산,2020-01-01 5:00,-7.5,,77,1011.8,
238,금산,2020-01-01 6:00,-6.8,,75,1011.7,
238,금산,2020-01-01 7:00,-6.2,,74,1011.9,
238,금산,2020-01-01 8:00,-5.5,,73,1012,
238,금산,2020-01-01 9:00,-4.9,,73,1012.4,
238,금산,2020-01-01 10:00,-3.3,,70,1012.7,
238,금산,2020-01-01 11:00,-1.8,,66,1012.4,
238,금산,2020-01-01 12:00,0.8,,61,1011.2,
238,금산,2020-01-01 13:00,2.8,,54,1010.6,
238,금산,2020-01-01 14:00,3.2,,51,1010,
238,금산,2020-01-01 15:00,3.4,,49,1010,
238,금산,2020-01-01 16:00,2.7,,54,1010.5,
238,금산,2020-01-01 17:00,1.9,,59,1010.8,
238,금산,2020-01-01 18:00,1.6,,61,1010.7,
238,금산,2020-01-01 19:00,-0.1,,74,1010.7,
238,금산,2020-01-01 20:00,-1,,79,1010.4,
238,금산,2020-01-01 21:00,-2.5,,85,1010.3,
238,금산,2020-01-01 22:00,-2.3,,85,1010.6,
238,금산,2020-01-01 23:00,-2.9,,87,1010.7,
238,금산,2020-01-02 0:00,-3.9,,91,1010.4,
238,금산,2020-01-02 1:00,-4.7,,93,1009.9,
238,금산,2020-01-02 2:00,-5.1,,94,1009.6,
238,금산,2020-01-02 3:00,-5.4,,94,1009.4,
238,금산,2020-01-02 4:00,-5,,94,1009.7,
238,금산,2020-01-02 5:00,-4.5,,93,1009.6,
238,금산,2020-01-02 6:00,-4.4,,93,1009.5,
238,금산,2020-01-02 7:00,-3.9,,92,1010,
238,금산,2020-01-02 8:00,-3.6,,91,1010.3,
238,금산,2020-01-02 9:00,-3.1,,91,1010.8,
238,금산,2020-01-02 10:00,-1.6,,85,1010.3,
238,금산,2020-01-02 11:00,0.4,,78,1010.4,
238,금산,2020-01-02 12:00,3,,67,1009.4,
238,금산,2020-01-02 13:00,5.5,,54,1007.6,
238,금산,2020-01-02 14:00,5.4,,56,1007.8,
238,금산,2020-01-02 15:00,4.9,,59,1008.1,
238,금산,2020-01-02 16:00,4.8,,60,1008.1,
238,금산,2020-01-02 17:00,4.5,,61,1008.2,
238,금산,2020-01-02 18:00,3.8,,66,1007.6,
238,금산,2020-01-02 19:00,3.5,,68,1007.7,
238,금산,2020-01-02 20:00,2,,75,1008,
238,금산,2020-01-02 21:00,0,,84,1008.2,
238,금산,2020-01-02 22:00,-1.1,,90,1008.8,
238,금산,2020-01-02 23:00,-1.5,,92,1008.5,
238,금산,2020-01-03 0:00,-0.9,,90,1007.9,
238,금산,2020-01-03 1:00,-1.2,,91,1007.4,
238,금산,2020-01-03 2:00,-0.9,,91,1007.3,
238,금산,2020-01-03 3:00,-0.4,,89,1007.2,
238,금산,2020-01-03 4:00,-0.5,,90,1007.2,
238,금산,2020-01-03 5:00,-0.3,,90,1006.5,
238,금산,2020-01-03 6:00,-1.1,,93,1006.5,
238,금산,2020-01-03 7:00,-1.3,,94,1006.9,
238,금산,2020-01-03 8:00,-1,,93,1006.9,
238,금산,2020-01-03 9:00,-0.5,,91,1007.5,
238,금산,2020-01-03 10:00,1.6,,82,1008,
238,금산,2020-01-03 11:00,3.3,,68,1007.2,
238,금산,2020-01-03 12:00,4.6,,59,1006.6,
238,금산,2020-01-03 13:00,6,,55,1005.7,
238,금산,2020-01-03 14:00,6.4,,53,1005,
238,금산,2020-01-03 15:00,6.8,,50,1004.3,
238,금산,2020-01-03 16:00,6.2,,52,1004.6,
238,금산,2020-01-03 17:00,5.3,,55,1004.7,
238,금산,2020-01-03 18:00,1.9,,72,1005.4,
238,금산,2020-01-03 19:00,0.7,,78,1005.9,
238,금산,2020-01-03 20:00,-0.4,,84,1005.9,
238,금산,2020-01-03 21:00,-1.6,,90,1005.8,
238,금산,2020-01-03 22:00,-2.3,,92,1005.8,
238,금산,2020-01-03 23:00,-3.1,,94,1005.8,
238,금산,2020-01-04 0:00,-3.6,,94,1005.3,
238,금산,2020-01-04 1:00,-4.3,,95,1005,
238,금산,2020-01-04 2:00,-4.8,,95,1005,
238,금산,2020-01-04 3:00,-5.1,,95,1005.4,
238,금산,2020-01-04 4:00,-5.7,,94,1005.2,
238,금산,2020-01-04 5:00,-5.2,,98,1004.8,
238,금산,2020-01-04 6:00,-4.4,,97,1005.2,
238,금산,2020-01-04 7:00,-4.2,,97,1004.9,
238,금산,2020-01-04 8:00,-3.7,,98,1005.2,
238,금산,2020-01-04 9:00,-3.3,,98,1006,
238,금산,2020-01-04 10:00,-2.2,,99,1005.9,
238,금산,2020-01-04 11:00,-1.2,,98,1005.8,
238,금산,2020-01-04 12:00,1.1,,83,1005,
238,금산,2020-01-04 13:00,3.7,,70,1004.3,
238,금산,2020-01-04 14:00,6.1,,61,1004,
238,금산,2020-01-04 15:00,6.6,,57,1004.1,
238,금산,2020-01-04 16:00,6.5,,55,1004.4,
238,금산,2020-01-04 17:00,5.1,,64,1004.6,
238,금산,2020-01-04 18:00,2,,76,1005,
238,금산,2020-01-04 19:00,0,,85,1005.8,
238,금산,2020-01-04 20:00,-0.8,,89,1006.3,
238,금산,2020-01-04 21:00,-1.7,,92,1006.6,
238,금산,2020-01-04 22:00,-2.4,,92,1007.1,
238,금산,2020-01-04 23:00,-3.1,,93,1007.4,
238,금산,2020-01-05 0:00,-3.7,,94,1007.7,
238,금산,2020-01-05 1:00,-4.5,,95,1007.4,
238,금산,2020-01-05 2:00,-4.7,,96,1007.9,
238,금산,2020-01-05 3:00,-5.4,,95,1008.7,
238,금산,2020-01-05 4:00,-5.7,,96,1008.7,
238,금산,2020-01-05 5:00,-5.8,,97,1009.2,
238,금산,2020-01-05 6:00,-5.6,,96,1009.3,
238,금산,2020-01-05 7:00,-5.6,,96,1010.1,
238,금산,2020-01-05 8:00,-5.8,,96,1010.4,
238,금산,2020-01-05 9:00,-5,,97,1011.2,
238,금산,2020-01-05 10:00,-3.9,,98,1011.5,
238,금산,2020-01-05 11:00,-1.7,,99,1011.1,
238,금산,2020-01-05 12:00,1.6,,90,1010.1,
238,금산,2020-01-05 13:00,5.7,,34,1009.1,
238,금산,2020-01-05 14:00,7.4,,33,1008.6,
238,금산,2020-01-05 15:00,8.3,,24,1008.5,
238,금산,2020-01-05 16:00,8.3,,30,1008.7,
238,금산,2020-01-05 17:00,6.8,,33,1008.9,
238,금산,2020-01-05 18:00,3.6,,50,1009.4,
238,금산,2020-01-05 19:00,1.9,,55,1009.7,
238,금산,2020-01-05 20:00,0.3,,65,1009.5,
238,금산,2020-01-05 21:00,-0.3,,68,1009.7,
238,금산,2020-01-05 22:00,-1.8,,73,1009.6,
238,금산,2020-01-05 23:00,-2.2,,77,1009.4,
238,금산,2020-01-06 0:00,-2.5,,80,1008.7,
238,금산,2020-01-06 1:00,-2.9,,80,1009,
238,금산,2020-01-06 2:00,-1.9,,78,1008.6,
238,금산,2020-01-06 3:00,-1.7,,79,1008.7,
238,금산,2020-01-06 4:00,-1.1,,77,1008.2,
238,금산,2020-01-06 5:00,-0.9,,76,1008.7,
238,금산,2020-01-06 6:00,-0.5,,75,1007.7,
