측정월,측정소코드,항목코드,월평균값,상태값,국가기준초과여부,충남기준초과여부,1시간자료최고값,1시간자료최고일시,1시간자료최저값,1시간자료최저일시,1시간자료국가기준초과합,1시간자료충남기준초과합,정상자료합계,정상1시간평균값합계,일평균최고값,일평균최고일,일평균최저값,일평균최저일,일평균국가기준초과합계,일평균충남기준초과합계,일평균정상상태합,8시간평균최고값,8시간평균최고일,8시간평균최저값,8시간평균최저일,8시간평균국가기준초과합,8시간평균충남기준초과합,8시간평균정상상태합,생성일시,월유효가동률
201901,701,1,71,SMPL,0,0,204,1419,19,123,140,0,735,52262,166,14,36,2,5,9,31,0,,0,,0,0,0,2.02E+13,99.86
201901,701,2,40,SMPL,0,0,147,1420,4,2018,284,0,736,29751,119,14,18,16,13,11,31,0,,0,,0,0,0,2.02E+13,100
201901,701,3,0.013,SMPL,0,0,0.043,1313,0.003,100,0,0,736,9.85,0.024,20,0.005,10,0,0,31,0.036,13,0.007,10,0,0,31,2.02E+13,100
201901,701,4,0.9,SMPL,0,0,1.9,308,0.1,2416,0,0,714,659,1.5,14,0.2,26,0,0,29,1.6,5,0.4,26,0,0,29,2.02E+13,97.01
201901,701,5,0.006,SMPL,0,0,0.026,614,0.003,820,0,0,736,4.385,0.008,4,0.004,15,0,0,31,0,,0,,0,0,0,2.02E+13,100
201901,701,6,0.039,SMPL,0,0,0.078,1320,0.011,512,0,0,736,28.904,0.051,4,0.022,20,0,16,31,0,,0,,0,0,0,2.02E+13,100
201901,701,7,0.081,SMPL,0,0,0.469,2308,0.014,513,0,0,736,59.28,0.148,4,0.031,31,0,0,31,0,,0,,0,0,0,2.02E+13,100
201901,701,8,0.041,SMPL,0,0,0.401,2308,0.001,118,0,0,736,30.392,0.098,4,0.006,28,0,0,31,0,,0,,0,0,0,2.02E+13,100
201901,701,9,135,SMPL,0,0,135,3101,0,,0,0,744,135,1,,0,,0,0,0,0,,0,,0,0,0,2.02E+13,100
201901,701,10,0.8,SMPL,0,0,3.2,2514,0.2,100,0,0,744,594.9,1.9,20,0.3,10,0,0,31,0,,0,,0,0,0,2.02E+13,100
